iteration,accepted_count,energy,acceptance_rate
         0,         0,  8.780774874139E+00,  0.0000
        15,         1,  8.777591097681E+00,  0.0667
        17,         2,  8.377078953243E+00,  0.1176
        31,         3,  7.564385903663E+00,  0.0968
        33,         4,  7.266607471946E+00,  0.1212
        41,         5,  6.778147109998E+00,  0.1220
        45,         6,  6.473823372223E+00,  0.1333
        47,         7,  6.168743057729E+00,  0.1489
        51,         8,  5.879043212198E+00,  0.1569
        52,         9,  5.660916539588E+00,  0.1731
        65,        10,  5.553535125188E+00,  0.1538
        71,        11,  3.753946734142E+00,  0.1549
        77,        12,  3.653827074262E+00,  0.1558
        80,        13,  3.313271096763E+00,  0.1625
       105,        14,  2.960857475647E+00,  0.1333
       115,        15,  2.741185069122E+00,  0.1304
       119,        16,  2.653332955827E+00,  0.1345
       130,        17,  2.610492860742E+00,  0.1308
       133,        18,  2.580013137239E+00,  0.1353
       134,        19,  2.413712380226E+00,  0.1418
       139,        20,  1.588453631156E+00,  0.1439
       140,        21,  1.360897623139E+00,  0.1500
       160,        22,  1.218662678261E+00,  0.1375
       164,        23,  1.068712868674E+00,  0.1402
       167,        24,  7.679859983035E-01,  0.1437
       177,        25,  7.211444451409E-01,  0.1412
       179,        26,  6.652102087651E-02,  0.1453
       196,        27, -8.812658704620E-02,  0.1378
       199,        28, -1.852535247686E+00,  0.1407
       220,        29, -2.583791725999E+00,  0.1318
       237,        30, -2.981096629365E+00,  0.1266
       240,        31, -3.275966522571E+00,  0.1292
       246,        32, -3.854962851210E+00,  0.1301
       249,        33, -4.036377058288E+00,  0.1325
       253,        34, -4.653852773001E+00,  0.1344
       258,        35, -4.790385699044E+00,  0.1357
       259,        36, -5.186863840454E+00,  0.1390
       260,        37, -5.422437394992E+00,  0.1423
       267,        38, -5.507097427568E+00,  0.1423
       276,        39, -6.601865105488E+00,  0.1413
       278,        40, -6.602147981523E+00,  0.1439
       279,        41, -7.733613444733E+00,  0.1470
       292,        42, -7.919782861675E+00,  0.1438
       304,        43, -7.996850330232E+00,  0.1414
       310,        44, -9.389104277655E+00,  0.1419
       312,        45, -9.592476403888E+00,  0.1442
       318,        46, -1.012927654239E+01,  0.1447
       319,        47, -1.065386599954E+01,  0.1473
       325,        48, -1.075020407112E+01,  0.1477
       326,        49, -1.094433490344E+01,  0.1503
       337,        50, -1.096199816996E+01,  0.1484
       338,        51, -1.125065624306E+01,  0.1509
       354,        52, -1.170706266885E+01,  0.1469
       360,        53, -1.182232038419E+01,  0.1472
       362,        54, -1.198550530035E+01,  0.1492
       395,        55, -1.233081699492E+01,  0.1392
       408,        56, -1.315699124977E+01,  0.1373
       409,        57, -1.328043254308E+01,  0.1394
       410,        58, -1.377743854688E+01,  0.1415
       422,        59, -1.494523949780E+01,  0.1398
       442,        60, -1.504674646693E+01,  0.1357
       466,        61, -1.557663985820E+01,  0.1309
       494,        62, -1.618084463604E+01,  0.1255
       502,        63, -1.618545499326E+01,  0.1255
       507,        64, -1.646500902395E+01,  0.1262
       510,        65, -1.654861878953E+01,  0.1275
       522,        66, -1.675355371568E+01,  0.1264
       540,        67, -1.710149132411E+01,  0.1241
       544,        68, -1.740651435273E+01,  0.1250
       548,        69, -1.774786470543E+01,  0.1259
       564,        70, -1.810482585884E+01,  0.1241
       584,        71, -1.900641631742E+01,  0.1216
       593,        72, -1.902448166577E+01,  0.1214
       598,        73, -1.934970136879E+01,  0.1221
       617,        74, -1.965494726916E+01,  0.1199
       618,        75, -1.989143001547E+01,  0.1214
       622,        76, -2.065505727137E+01,  0.1222
       627,        77, -2.103136889616E+01,  0.1228
       647,        78, -2.205719386163E+01,  0.1206
       654,        79, -2.209525548422E+01,  0.1208
       674,        80, -2.242284405773E+01,  0.1187
       679,        81, -2.270943283932E+01,  0.1193
       704,        82, -2.280720593475E+01,  0.1165
       708,        83, -2.317455558616E+01,  0.1172
       718,        84, -2.317921112477E+01,  0.1170
       728,        85, -2.332321118976E+01,  0.1168
       736,        86, -2.337762750283E+01,  0.1168
       739,        87, -2.382249347288E+01,  0.1177
       741,        88, -2.385546239296E+01,  0.1188
       748,        89, -2.455210252520E+01,  0.1190
       758,        90, -2.504011281312E+01,  0.1187
       761,        91, -2.507045618853E+01,  0.1196
       763,        92, -2.528491860879E+01,  0.1206
       769,        93, -2.572634268133E+01,  0.1209
       772,        94, -2.606585546879E+01,  0.1218
       778,        95, -2.626044902425E+01,  0.1221
       781,        96, -2.634368216886E+01,  0.1229
       790,        97, -2.636582900971E+01,  0.1228
       798,        98, -2.735933475428E+01,  0.1228
       804,        99, -2.742369207956E+01,  0.1231
