particle_id,x,y,charge
     1,  8.1135208688E-02, -9.9995539768E+00, 1.0
     2,  2.4711167975E+00,  6.2517596872E+00, 1.0
     3, -1.8099835311E+00, -6.8040982050E+00, 1.0
     4, -9.9995820146E+00, -7.9576012631E+00, 1.0
     5, -5.3400682709E+00, -9.9998627723E+00, 1.0
     6, -9.9906902073E+00, -9.9983489638E+00, 1.0
     7,  2.5487971558E+00, -2.5814464573E+00, 1.0
     8, -6.4289891658E+00, -4.0030546847E+00, 1.0
     9,  9.9997994727E+00,  5.5198773804E+00, 1.0
    10, -1.6651800876E+00,  1.9291988045E+00, 1.0
    11,  6.9435595334E+00,  1.8372070872E+00, 1.0
    12,  1.2951585043E+00,  9.9999884622E+00, 1.0
    13, -2.1107566918E+00,  6.2830857212E+00, 1.0
    14,  8.2098962599E+00,  9.9993518141E+00, 1.0
    15,  2.8287484383E+00, -9.9996703900E+00, 1.0
    16, -9.9998593909E+00,  2.6185077663E+00, 1.0
    17,  9.9983288831E+00, -9.9966371550E+00, 1.0
    18, -8.1607342523E+00,  9.9999075299E+00, 1.0
    19, -9.9917289337E+00,  9.9941499840E+00, 1.0
    20,  6.0128223786E+00,  9.9990900708E+00, 1.0
    21,  9.9993793777E+00,  7.9077327912E+00, 1.0
    22, -9.9997337263E+00, -2.8991804240E+00, 1.0
    23,  3.7330146121E+00,  9.9999988910E+00, 1.0
    24, -9.9998822623E+00, -1.0604372864E-01, 1.0
    25, -9.9997661669E+00,  5.2671880132E+00, 1.0
    26,  2.8706743763E+00,  1.9692362217E+00, 1.0
    27,  2.7343442921E+00, -6.7679772253E+00, 1.0
    28,  9.9993006513E+00,  9.9974239440E+00, 1.0
    29, -6.5657911183E+00, -7.3637263744E+00, 1.0
    30,  9.9992060513E+00,  2.9151721407E+00, 1.0
    31,  6.7511717003E+00, -2.7079866691E+00, 1.0
    32,  6.8650957018E+00, -6.8384223031E+00, 1.0
    33, -1.9878873522E+00, -2.6271170710E+00, 1.0
    34, -6.5271760812E+00, -2.6990641659E-01, 1.0
    35, -7.9532093467E+00, -9.9997008066E+00, 1.0
    36, -9.9996403263E+00,  7.8154703659E+00, 1.0
    37, -1.0974718036E+00,  9.9994104667E+00, 1.0
    38, -6.7916308655E+00,  6.9125069967E+00, 1.0
    39,  6.6789135948E+00,  6.2743679759E+00, 1.0
    40, -9.9999611647E+00, -5.5390681678E+00, 1.0
    41, -3.5435518067E+00,  9.9998693022E+00, 1.0
    42,  9.9990156843E+00, -7.9014289300E+00, 1.0
    43,  9.9990213176E+00, -5.3948473231E+00, 1.0
    44, -2.6873379122E+00, -9.9999948873E+00, 1.0
    45,  8.0047334584E+00, -9.9998430154E+00, 1.0
    46, -6.2485678756E+00,  3.4411275430E+00, 1.0
    47,  5.5187676278E+00, -9.9990691951E+00, 1.0
    48,  9.9999246405E+00, -2.7019426503E+00, 1.0
    49, -5.9046631200E+00,  9.9989580809E+00, 1.0
    50,  9.9995881804E+00,  2.5550264976E-02, 1.0
