particle_id,x,y,charge
     1,  1.4165075680E-01, -7.6789709801E+00, 1.0
     2,  6.7887237946E+00,  9.9424956674E+00, 1.0
     3,  5.9224161253E-01, -1.0329818759E+00, 1.0
     4, -2.6640699125E+00,  8.3267228425E+00, 1.0
     5,  9.9613385460E-01, -3.5833189168E+00, 1.0
     6, -1.2540448910E+00, -6.4974739214E+00, 1.0
     7, -7.1809110282E+00, -4.2320764101E+00, 1.0
     8,  1.1138753661E-01,  3.1750688386E+00, 1.0
     9,  2.8612911381E+00,  9.4783986099E+00, 1.0
    10, -4.3518442917E+00,  4.8877960140E+00, 1.0
    11,  7.9447348979E-01,  6.6671378255E+00, 1.0
    12, -8.9671913140E+00,  6.3362826100E-01, 1.0
    13,  6.4113598155E+00, -2.7120868512E+00, 1.0
    14,  9.4035090634E+00, -2.7636975512E+00, 1.0
    15, -6.2097727341E+00, -1.5639670240E+00, 1.0
    16, -6.3799217721E+00,  8.0578658185E+00, 1.0
    17, -9.2091765551E+00,  9.3036300429E+00, 1.0
    18,  4.3268548701E+00, -2.3789182297E+00, 1.0
    19, -1.3687847253E+00,  8.4732951355E+00, 1.0
    20, -7.7719671584E+00, -1.3493265614E+00, 1.0
    21,  2.5306721533E+00,  4.7238854546E+00, 1.0
    22, -5.9317757570E+00, -9.1687687392E+00, 1.0
    23, -9.7862594132E+00,  3.6056143449E+00, 1.0
    24, -6.0390048790E+00,  5.5299912411E+00, 1.0
    25, -8.0658685223E+00, -1.9378598645E+00, 1.0
    26,  8.4597528978E-01,  6.6147574658E+00,-1.0
    27, -1.5076919504E+00, -3.8316781478E+00,-1.0
    28,  9.3493548652E+00, -1.9854537167E-01,-1.0
    29,  2.8783832159E+00, -8.1298559435E+00,-1.0
    30, -7.0604118417E+00, -9.3112764326E+00,-1.0
    31,  6.8900911893E+00,  4.7943799950E+00,-1.0
    32,  8.0493576960E+00,  2.7350552473E+00,-1.0
    33, -6.6912983450E+00,  1.4501533656E+00,-1.0
    34, -2.3875643544E+00, -8.6718757633E+00,-1.0
    35, -9.9955318006E+00,  8.9105078028E+00,-1.0
    36, -6.3081276360E+00, -5.7268795633E-01,-1.0
    37,  7.6151532382E+00, -5.7423739095E+00,-1.0
    38, -8.5720715358E+00,  9.2389223613E+00,-1.0
    39, -8.0471738927E+00, -3.3691036666E+00,-1.0
    40, -6.3113451510E+00, -1.5485406208E+00,-1.0
    41,  2.0168364491E+00,  7.0111213721E+00,-1.0
    42,  2.9494303861E+00,  4.3240258809E+00,-1.0
    43,  7.1498864072E+00, -9.6840356184E+00,-1.0
    44, -6.9669442905E+00, -5.8681053887E+00,-1.0
    45, -5.2435405884E+00, -2.9257645399E+00,-1.0
    46,  9.8811063878E+00,  7.0829651704E+00,-1.0
    47,  9.3748750923E+00, -4.4767584974E+00,-1.0
    48, -7.7777743371E-01, -2.4922582335E-01,-1.0
    49, -7.8093541676E+00, -1.4419556373E+00,-1.0
    50, -5.8498094270E+00, -9.0412767348E+00,-1.0
