iteration,accepted_count,energy,acceptance_rate
         0,         0, -1.226781381575E+01,  0.0000
         1,         1, -1.233925731727E+01,  1.0000
         2,         2, -1.237371188506E+01,  1.0000
         3,         3, -1.238046948364E+01,  1.0000
         4,         4, -1.241725487457E+01,  1.0000
        13,         5, -1.245177723103E+01,  0.3846
        17,         6, -1.246290342220E+01,  0.3529
        20,         7, -1.250598502921E+01,  0.3500
        21,         8, -1.253758201419E+01,  0.3810
        22,         9, -1.260828480117E+01,  0.4091
        23,        10, -1.266437959996E+01,  0.4348
        24,        11, -1.477028032671E+01,  0.4583
        26,        12, -1.497192935381E+01,  0.4615
        27,        13, -1.535971601264E+01,  0.4815
        28,        14, -1.560079613119E+01,  0.5000
        31,        15, -1.565075428684E+01,  0.4839
        33,        16, -1.571218294726E+01,  0.4848
        35,        17, -1.585436069880E+01,  0.4857
        37,        18, -1.591294492721E+01,  0.4865
        40,        19, -1.596545594748E+01,  0.4750
        41,        20, -1.616456218883E+01,  0.4878
        42,        21, -1.617462205555E+01,  0.5000
        43,        22, -1.627920920764E+01,  0.5116
        44,        23, -1.631201759848E+01,  0.5227
        45,        24, -1.632862480314E+01,  0.5333
        46,        25, -1.723648750643E+01,  0.5435
        47,        26, -1.731300131307E+01,  0.5532
        49,        27, -1.731441976432E+01,  0.5510
        51,        28, -1.732938245512E+01,  0.5490
        52,        29, -1.965916277333E+01,  0.5577
        53,        30, -1.974719145763E+01,  0.5660
        55,        31, -1.993673376251E+01,  0.5636
        57,        32, -2.000253627751E+01,  0.5614
        60,        33, -2.003170063095E+01,  0.5500
        61,        34, -2.005401546299E+01,  0.5574
        62,        35, -2.008066655650E+01,  0.5645
        63,        36, -2.010986822913E+01,  0.5714
        66,        37, -2.029213697693E+01,  0.5606
        68,        38, -2.055228383878E+01,  0.5588
        69,        39, -2.081991799847E+01,  0.5652
        74,        40, -2.085833565726E+01,  0.5405
        76,        41, -2.088006269155E+01,  0.5395
        78,        42, -2.100766431001E+01,  0.5385
        81,        43, -2.105497575859E+01,  0.5309
        85,        44, -2.105810947563E+01,  0.5176
        88,        45, -2.122402034140E+01,  0.5114
        90,        46, -2.123009459213E+01,  0.5111
        91,        47, -2.129089574498E+01,  0.5165
        92,        48, -2.134211658419E+01,  0.5217
        93,        49, -2.140384057033E+01,  0.5269
        94,        50, -2.145040684076E+01,  0.5319
        95,        51, -2.151322539040E+01,  0.5368
        96,        52, -2.157841305411E+01,  0.5417
        98,        53, -2.177682682512E+01,  0.5408
       103,        54, -2.181122067695E+01,  0.5243
       104,        55, -2.186407320953E+01,  0.5288
       105,        56, -2.193822337855E+01,  0.5333
       107,        57, -2.211996449618E+01,  0.5327
       109,        58, -2.217350953863E+01,  0.5321
       111,        59, -2.217379315266E+01,  0.5315
       115,        60, -2.220749405287E+01,  0.5217
       116,        61, -2.224703719896E+01,  0.5259
       118,        62, -2.496732586446E+01,  0.5254
       119,        63, -2.506272415317E+01,  0.5294
       122,        64, -2.508162138983E+01,  0.5246
       123,        65, -2.513568937225E+01,  0.5285
       127,        66, -2.516801920553E+01,  0.5197
       128,        67, -2.520730556320E+01,  0.5234
       129,        68, -2.584798943231E+01,  0.5271
       130,        69, -3.420541953144E+01,  0.5308
       134,        70, -3.426958471355E+01,  0.5224
       135,        71, -3.433966709401E+01,  0.5259
       136,        72, -3.440270565323E+01,  0.5294
       137,        73, -3.550338250126E+01,  0.5328
       138,        74, -3.553579663205E+01,  0.5362
       139,        75, -3.618539241588E+01,  0.5396
       143,        76, -3.636656646782E+01,  0.5315
       146,        77, -3.638651893835E+01,  0.5274
       147,        78, -3.640493198265E+01,  0.5306
       148,        79, -3.643929248109E+01,  0.5338
       150,        80, -3.645973753895E+01,  0.5333
       151,        81, -3.655548623421E+01,  0.5364
